,video_name,topic,Actual type,Accuracy
0,plancrash,T2,T0,FALSE
1,MI4,T1,T1,TRUE
2,JO,T1,T0,FALSE
3,MvW,T1,T1,TRUE
4,CarCrash,T1,T1,TRUE
5,2012,T0,T1,FALSE
6,DrSeuss,T0,T1,FALSE
7,LoTR,T1,T1,TRUE
8,TPM,T1,T1,TRUE
9,Jaw,T2,T1,FALSE
10,Sing,T1,T1,TRUE
11,BBC,T1,T1,TRUE
12,news_weather,T1,T0,FALSE
13,news_cnnanchor,T0,T0,TRUE
14,news_cnnreporter,T2,T0,FALSE
15,news_3dprint,T2,T0,FALSE
16,news_mikepence,T1,T0,FALSE
17,news_trump,T0,T0,TRUE
18,sport_bb,T2,T2,TRUE
19,sport_football2,T2,T2,TRUE
20,news_kelly,T0,T0,TRUE
21,news_missinggirl,T0,T0,TRUE
22,news_manafort,T0,T0,TRUE
23,sport_football,T0,T2,FALSE
24,sports_nba,T0,T2,FALSE
25,sports_football4,T2,T2,TRUE
26,sports_football5,T0,T2,FALSE
27,sports_football1,T2,T2,TRUE
28,sports_football2,T2,T2,TRUE
29,sports_football3,T2,T2,TRUE
30,movie_ironman,T2,T1,FALSE
31,anim_walle,T1,T1,TRUE
32,movie_ironman2,T0,T1,FALSE
33,movie_spiderman2,T0,T1,FALSE
34,movie_spiderman,T0,T1,FALSE
35,movie_avenger,T2,T1,FALSE
36,movie_darkknight,T0,T1,FALSE
37,movie_thor,T1,T1,TRUE
38,movie_avenger3,T2,T1,FALSE
39,movie_avenger2,T0,T1,FALSE
40,movie_darkknight2,T2,T1,FALSE
41,docu_jungle,T1,T1,TRUE
42,docu_secret,T0,T1,FALSE
43,docu_hunt,T0,T1,FALSE
44,docu_earth,T1,T1,TRUE
45,docu_planet,T0,T1,FALSE
46,docu_earth3,T0,T1,FALSE
47,docu_planet2,T2,T1,FALSE
48,docu_planet3,T1,T1,TRUE
49,docu_earth2,T0,T1,FALSE
50,anim_lionking,T0,T1,FALSE
51,movie_lalaland,T2,T1,FALSE
52,movie_notebook,T2,T1,FALSE
53,movie_ladybird,T0,T1,FALSE
54,movie_billboard,T1,T1,TRUE
55,movie_eatpray,T0,T1,FALSE
56,movie_network,T1,T1,TRUE
57,movie_500,T0,T1,FALSE
58,movie_atlas,T1,T1,TRUE
59,anim_iceage,T2,T1,FALSE
60,anim_spiritedaway,T0,T1,FALSE
61,anim_mononoke,T1,T1,TRUE
62,anim_zootipia,T1,T1,TRUE
63,anim_zootopia2,T2,T1,FALSE
64,anim_panda,T0,T1,FALSE
,,,,28
